Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
2,20,80.0,9600,6,8,1976,1976,0.0,978,0,284,1262,1262,0,0,1262,0,1,2,0,3,1,6,1,1976.0,2,460,298,0,0,0,0,0,0,5,2007,181500
9,50,51.0,6120,7,5,1931,1950,0.0,0,0,952,952,1022,752,0,1774,0,0,2,0,2,2,8,2,1931.0,2,468,90,0,205,0,0,0,0,4,2008,129900
14,20,91.0,10652,7,5,2006,2007,306.0,0,0,1494,1494,1494,0,0,1494,0,0,2,0,3,1,7,1,2006.0,3,840,160,33,0,0,0,0,0,8,2007,279500
15,20,,10920,6,5,1960,1960,212.0,733,0,520,1253,1253,0,0,1253,1,0,1,1,2,1,5,1,1960.0,1,352,0,213,176,0,0,0,0,5,2008,157000
21,60,101.0,14215,8,5,2005,2006,380.0,0,0,1158,1158,1158,1218,0,2376,0,0,3,1,4,1,9,1,2005.0,3,853,240,154,0,0,0,0,0,11,2006,325300
22,45,57.0,7449,7,7,1930,1950,0.0,0,0,637,637,1108,0,0,1108,0,0,1,0,3,1,6,1,1930.0,1,280,0,0,205,0,0,0,0,6,2007,139400
27,20,60.0,7200,5,7,1951,2000,0.0,234,486,180,900,900,0,0,900,0,1,1,0,3,1,5,0,2005.0,2,576,222,32,0,0,0,0,0,5,2010,134800
35,120,60.0,7313,9,5,2005,2005,246.0,1153,0,408,1561,1561,0,0,1561,1,0,2,0,2,1,6,1,2005.0,2,556,203,47,0,0,0,0,0,8,2007,277500
38,20,74.0,8532,5,6,1954,1990,650.0,1213,0,84,1297,1297,0,0,1297,0,1,1,0,3,1,5,1,1954.0,2,498,0,0,0,0,0,0,0,10,2009,153000
41,20,84.0,8658,6,5,1965,1965,101.0,643,0,445,1088,1324,0,0,1324,0,0,2,0,3,1,6,1,1965.0,2,440,0,138,0,0,0,0,0,12,2006,160000
54,20,68.0,50271,9,5,1981,1987,0.0,1810,0,32,1842,1842,0,0,1842,2,0,0,1,0,1,5,1,1981.0,3,894,857,72,0,0,0,0,0,11,2006,385000
65,60,,9375,7,5,1997,1998,573.0,739,0,318,1057,1057,977,0,2034,1,0,2,1,3,1,8,0,1998.0,2,645,576,36,0,0,0,0,0,2,2009,219500
